batch_idx,round_i,sample_idx,kind,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias,mean_xi_minus_q,var_xi_minus_q,mean_xi_minus_p,var_xi_minus_p
1,1,32,proposal,4.71016255687573e-06,0.6816739439964294,False,False,9.648903846740723,6484.0634765625,6263.279296875,-360.2257385253906,-347.9599609375,-12.265777587890625,4.7102121243369766e-06,3.0,fixed,1.0,0.08428391814231873,9.313252449035645,-0.02788975089788437,9.648124694824219
1,1,5,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,-0.11719337105751038,8.724103927612305
1,1,32,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,0.05640050023794174,8.492049217224121
2,0,0,proposal,0.0013882677303627133,0.8864261507987976,False,False,9.254561424255371,6219.0654296875,6100.630859375,-345.5036315917969,-338.9239501953125,-6.579681396484375,0.0013882915955036879,3.0,fixed,1.0,-0.06350190192461014,9.074286460876465,-0.013348069041967392,9.254382133483887
2,0,1,proposal,7.294751753761375e-07,0.6851508617401123,False,False,9.727574348449707,6536.9296875,6282.57275390625,-363.1627502441406,-349.0318298339844,-14.13092041015625,7.294898409782036e-07,3.0,fixed,1.0,-0.040877457708120346,9.347394943237305,-0.06148597225546837,9.723793029785156
2,0,2,proposal,0.000348958361428231,0.022189801558852196,False,False,9.679404258728027,6504.5595703125,6361.26953125,-361.3644104003906,-353.40386962890625,-7.960540771484375,0.0003489643568173051,3.0,fixed,1.0,0.07683528959751129,9.460270881652832,0.041529443114995956,9.677678108215332
2,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,-0.018361279740929604,9.359400749206543
2,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,-0.33353790640830994,8.715965270996094
2,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,0.20191459357738495,8.856864929199219
2,1,17,proposal,6.332887636517626e-08,0.4264124631881714,False,False,9.043593406677246,6077.294921875,5778.9462890625,-337.62750244140625,-321.0525817871094,-16.574920654296875,6.332911794970641e-08,3.0,fixed,1.0,-0.03401923552155495,8.598464965820312,-0.03444310277700424,9.04240894317627
2,1,38,proposal,2.7968921401111402e-08,0.5731082558631897,False,False,9.175918579101562,6166.21728515625,5853.158203125,-342.567626953125,-325.1754455566406,-17.392181396484375,2.7968654947585492e-08,3.0,fixed,1.0,-0.06858457624912262,8.705352783203125,-0.18986815214157104,9.139869689941406
2,1,17,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,0.09142028540372849,8.149358749389648
2,1,38,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,0.08041746914386749,9.184575080871582
0,0,0,proposal,0.01767045073211193,0.6261138319969177,False,False,2.1955456733703613,1475.40673828125,1457.245361328125,-327.8681640625,-323.8323059082031,-4.035858154296875,0.017670508474111557,1.5,fixed,1.0,0.027978381142020226,2.1677372455596924,-0.016299763694405556,2.195280075073242
0,0,1,proposal,3.05835811786892e-07,0.913435697555542,False,False,2.243434429168701,1507.587890625,1440.0869140625,-335.01953125,-320.0193176269531,-15.000213623046875,3.0583697707697866e-07,1.5,fixed,1.0,-0.00174171372782439,2.1429834365844727,-0.0751151293516159,2.2377920150756836
0,0,2,proposal,2.819940709741786e-05,0.15736445784568787,False,False,2.312868118286133,1554.247314453125,1507.1043701171875,-345.3883056640625,-334.9120788574219,-10.476226806640625,2.8198923246236518e-05,1.5,fixed,1.0,0.03143325075507164,2.241726875305176,-0.06831137835979462,2.308201551437378
0,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,-0.14113081991672516,2.0584824085235596
0,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,-0.03992968797683716,2.26521635055542
0,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,0.026154490187764168,2.24566388130188
0,1,4,proposal,5.0012460839354844e-09,0.03908691555261612,False,False,2.3826181888580322,1601.119384765625,1515.1082763671875,-355.8043212890625,-336.69073486328125,-19.11358642578125,5.001207892263437e-09,1.5,fixed,1.0,-0.03835337981581688,2.2531542778015137,-0.09960631281137466,2.372696876525879
0,1,23,proposal,7.486913489174185e-08,0.6399073600769043,False,False,2.500973701477051,1680.654296875,1606.8204345703125,-373.4787292480469,-357.0711975097656,-16.40753173828125,7.486856645755324e-08,1.5,fixed,1.0,-0.02677098661661148,2.390385150909424,-0.13220423460006714,2.4834957122802734
0,1,25,proposal,2.4285007384605706e-05,0.9490520358085632,False,False,2.685443639755249,1804.617919921875,1756.802490234375,-401.0262145996094,-390.4005432128906,-10.62567138671875,2.428452171443496e-05,1.5,fixed,1.0,0.015259671956300735,2.6140565872192383,-0.015941841527819633,2.6851892471313477
0,1,4,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,0.02200707606971264,2.217006206512451
0,1,23,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,-0.0028697452507913113,2.487520933151245
0,1,25,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,0.06905292719602585,2.1782772541046143
1,0,0,proposal,9.427447622556429e-08,0.1548151671886444,False,False,2.1517889499664307,1446.0020751953125,1373.205322265625,-321.33380126953125,-305.15673828125,-16.17706298828125,9.427375857740117e-08,1.5,fixed,1.0,0.03726040571928024,2.04207181930542,0.03406279906630516,2.1506285667419434
1,0,1,proposal,7.666218380109058e-07,0.8669856190681458,False,False,2.4854238033294678,1670.204833984375,1606.839111328125,-371.1566162109375,-357.0753479003906,-14.081268310546875,7.666248507121054e-07,1.5,fixed,1.0,-0.09446919709444046,2.3822052478790283,-0.10969038307666779,2.4733920097351074
1,0,2,proposal,0.017584379762411118,0.6430889964103699,False,False,2.3000662326812744,1545.64453125,1527.461181640625,-343.4765625,-339.4358215332031,-4.040740966796875,0.017584437504410744,1.5,fixed,1.0,-0.0825977772474289,2.2661852836608887,-0.07627303153276443,2.294248580932617
1,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,-0.042118705809116364,2.3187215328216553
1,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,0.04126251861453056,2.511242151260376
1,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,-0.029039865359663963,2.400190830230713
2,0,0,proposal,6.20745191359795e-11,0.22841736674308777,False,False,2.354168176651001,1582.0009765625,1476.2388916015625,-351.5557861328125,-328.0531005859375,-23.502685546875,6.20745191359795e-11,1.5,fixed,1.0,0.09745001047849655,2.1872875690460205,0.09398753941059113,2.345334529876709
2,0,1,proposal,6.852318620076403e-06,0.2173157036304474,False,False,2.4100430011749268,1619.5487060546875,1566.03955078125,-359.89971923828125,-348.0087890625,-11.89093017578125,6.8522726905939635e-06,1.5,fixed,1.0,0.04902156814932823,2.3280129432678223,0.041688308119773865,2.4083049297332764
2,0,2,proposal,8.601021006526821e-10,0.5218260884284973,False,False,2.2712299823760986,1526.2664794921875,1432.3336181640625,-339.1703186035156,-318.2963562011719,-20.87396240234375,8.601086509685274e-10,1.5,fixed,1.0,-0.04718973487615585,2.1292219161987305,-0.08705486357212067,2.2636513710021973
2,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,-0.014815356582403183,2.40466570854187
2,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,-0.031960126012563705,2.47847318649292
2,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.5,fixed,1.0,nan,nan,0.0594944953918457,2.1040198802948
